iter	RMSE
0	14.48426847
1	13.75288913
2	13.0836247
3	12.4569357
4	11.8851079
5	11.34655199
6	10.84975435
7	10.3890761
8	9.977761639
9	9.588290445
10	9.223644834
11	8.900860519
12	8.597267092
13	8.318780815
14	8.070944718
15	7.836017692
16	7.62653196
17	7.43025522
18	7.250800853
19	7.083582785
20	6.930281907
21	6.79307254
22	6.670924495
23	6.554409127
24	6.442818771
25	6.347374054
26	6.260916653
27	6.180942953
28	6.109428077
29	6.046301709
30	5.986813686
31	5.934688424
32	5.887866469
33	5.846244313
34	5.804411633
35	5.767877539
36	5.73466071
37	5.70503957
38	5.675268148
39	5.647353335
40	5.62649337
41	5.606345506
42	5.585714078
43	5.568174765
44	5.551699472
45	5.537499821
46	5.525336135
47	5.514709811
48	5.503392288
49	5.493039498
50	5.485070368
51	5.478899914
52	5.472622561
53	5.464831433
54	5.458445727
55	5.453856421
56	5.449742039
57	5.445917391
58	5.440872339
59	5.437042931
60	5.432938041
61	5.429728167
62	5.426571705
63	5.422872318
64	5.42040233
65	5.417254513
66	5.414965995
67	5.412589613
68	5.410778442
69	5.408393193
70	5.406765489
71	5.404673412
72	5.40279503
73	5.401767184
74	5.400195154
75	5.398668521
76	5.397066353
77	5.395037085
78	5.39371798
79	5.392482688
80	5.391438605
81	5.390224002
82	5.388971921
83	5.387880698
84	5.386920211
85	5.386235322
86	5.385430113
87	5.384094759
88	5.383121511
89	5.38231358
90	5.381711469
91	5.380552673
92	5.379748315
93	5.379041304
94	5.378528106
95	5.377738167
96	5.376737799
97	5.376678337
98	5.375826421
99	5.375154722
100	5.374784593
101	5.373656571
102	5.372699002
103	5.371925238
104	5.371034204
105	5.370015726
106	5.36936468
107	5.368208806
108	5.36700588
109	5.366201143
110	5.365555323
111	5.365118081
112	5.364823119
113	5.364148953
114	5.363650958
115	5.362713449
116	5.361972543
117	5.36149173
118	5.36123288
119	5.360671908
120	5.360203174
121	5.359231027
122	5.358794654
123	5.358367535
124	5.357661574
125	5.357636983
126	5.35664928
127	5.355823414
