iter	Passed	Remaining
0	147	147139
1	150	75302
2	154	51326
3	158	39483
4	161	32218
5	165	27394
6	168	23916
7	172	21355
8	175	19328
9	178	17714
10	182	16397
11	185	15286
12	188	14337
13	192	13535
14	195	12829
15	198	12211
16	202	11682
17	205	11201
18	208	10777
19	212	10392
20	215	10047
21	218	9730
22	222	9439
23	225	9168
24	228	8916
25	232	8697
26	235	8488
27	238	8292
28	242	8109
29	245	7936
30	248	7776
31	252	7623
32	255	7479
33	258	7345
34	261	7220
35	265	7111
36	268	6997
37	272	6886
38	275	6781
39	278	6685
40	281	6595
41	285	6503
42	288	6417
43	291	6338
44	296	6298
45	300	6223
46	303	6148
47	306	6078
48	309	6013
49	313	5949
50	316	5885
51	319	5820
52	322	5763
53	325	5708
54	329	5654
55	332	5602
56	335	5551
57	338	5500
58	341	5450
59	344	5403
60	348	5363
61	351	5318
62	354	5275
63	357	5235
64	360	5192
65	364	5155
66	367	5117
67	370	5082
68	374	5048
69	377	5018
70	381	4985
71	384	4955
72	387	4924
73	391	4893
74	394	4862
75	397	4832
76	400	4803
77	404	4775
78	407	4747
79	410	4720
80	413	4691
81	416	4666
82	420	4644
83	424	4625
84	427	4604
85	431	4584
86	435	4567
87	438	4545
88	441	4517
89	444	4495
90	448	4477
91	451	4459
92	455	4441
93	458	4422
94	462	4404
95	465	4384
96	468	4364
97	471	4336
98	475	4324
99	479	4312
100	483	4303
101	488	4304
102	493	4295
103	497	4282
104	500	4269
105	504	4257
106	508	4242
107	512	4230
108	516	4218
109	520	4213
110	524	4204
111	529	4194
112	532	4181
113	536	4168
114	539	4153
115	543	4138
116	546	4121
117	549	4106
118	552	4088
119	555	4073
120	558	4057
121	561	4043
122	565	4029
123	568	4015
124	572	4006
125	574	3985
126	578	3974
127	582	3968
128	585	3955
129	591	3956
130	595	3948
131	600	3950
132	604	3943
133	609	3937
134	612	3926
135	616	3915
136	619	3901
137	622	3890
138	626	3879
139	629	3866
140	632	3856
141	636	3844
142	639	3831
143	642	3818
144	645	3806
145	648	3795
146	652	3783
147	655	3772
148	658	3759
149	661	3748
150	664	3737
151	667	3726
152	671	3716
153	674	3705
154	677	3695
155	681	3685
156	684	3674
157	687	3664
158	690	3653
159	693	3642
160	696	3632
161	700	3621
162	703	3610
163	706	3601
164	709	3590
165	712	3581
166	716	3571
167	719	3562
168	722	3552
169	725	3542
170	728	3534
171	732	3528
172	736	3518
173	739	3508
174	742	3499
175	745	3491
176	748	3482
177	752	3473
178	755	3465
179	758	3456
180	762	3448
181	848	3811
182	851	3800
183	854	3790
184	857	3778
185	861	3768
186	864	3757
187	867	3747
188	870	3736
189	878	3746
190	883	3742
191	888	3737
192	892	3731
193	896	3723
194	899	3714
195	903	3704
196	910	3711
197	914	3704
198	918	3697
199	934	3737
200	979	3893
201	982	3882
202	986	3871
203	989	3860
204	1014	3932
205	1017	3921
206	1020	3910
207	1024	3899
208	1027	3887
209	1030	3876
210	1033	3865
211	1036	3853
212	1040	3843
213	1043	3832
214	1046	3821
215	1049	3810
216	1053	3800
217	1056	3790
218	1060	3780
219	1062	3767
220	1065	3756
221	1069	3746
222	1072	3736
223	1077	3732
224	1081	3723
225	1084	3713
226	1087	3704
227	1091	3696
228	1096	3690
229	1099	3681
230	1103	3672
231	1106	3663
232	1109	3653
233	1112	3642
234	1116	3633
235	1119	3625
236	1123	3615
237	1126	3605
238	1129	3595
239	1132	3586
240	1136	3578
241	1139	3568
242	1142	3559
243	1145	3549
244	1148	3540
245	1152	3531
246	1155	3522
247	1158	3512
248	1161	3503
249	1164	3493
250	1168	3485
251	1171	3476
252	1174	3467
253	1177	3458
254	1180	3449
255	1184	3441
256	1187	3433
257	1190	3425
258	1194	3416
259	1197	3407
260	1200	3399
261	1203	3390
262	1206	3381
263	1210	3373
264	1213	3364
265	1216	3356
266	1219	3348
267	1222	3339
268	1226	3331
269	1229	3323
270	1232	3315
271	1235	3307
272	1239	3299
273	1242	3290
274	1245	3283
275	1248	3275
276	1251	3267
277	1254	3258
278	1257	3250
279	1261	3243
280	1264	3236
281	1267	3227
282	1270	3219
283	1274	3214
284	1278	3206
285	1281	3198
286	1284	3190
287	1287	3183
288	1290	3175
289	1293	3167
290	1297	3160
291	1300	3152
292	1303	3145
293	1306	3137
294	1309	3129
295	1312	3121
296	1315	3114
297	1319	3107
298	1322	3100
299	1325	3093
300	1329	3086
301	1332	3079
302	1335	3072
303	1338	3065
304	1342	3058
305	1345	3050
306	1348	3043
307	1351	3036
308	1354	3029
309	1357	3022
310	1361	3015
311	1364	3009
312	1367	3001
313	1370	2994
314	1373	2986
315	1376	2980
316	1380	2973
317	1383	2967
318	1386	2960
319	1389	2953
320	1393	2947
321	1396	2940
322	1399	2934
323	1402	2927
324	1405	2919
325	1409	2913
326	1412	2906
327	1415	2899
328	1418	2892
329	1421	2885
330	1424	2878
331	1427	2872
332	1430	2865
333	1433	2858
334	1437	2852
335	1440	2846
336	1443	2840
337	1446	2834
338	1450	2827
339	1453	2821
340	1456	2815
341	1460	2809
342	1463	2802
343	1466	2796
344	1469	2790
345	1472	2784
346	1476	2778
347	1479	2771
348	1482	2765
349	1485	2759
350	1489	2754
351	1492	2747
352	1495	2741
353	1499	2735
354	1502	2730
355	1505	2724
356	1509	2718
357	1512	2712
358	1516	2706
359	1519	2701
360	1522	2695
361	1526	2689
362	1529	2683
363	1532	2677
364	1535	2671
365	1539	2666
366	1542	2660
367	1545	2653
368	1548	2648
369	1552	2642
370	1555	2636
371	1558	2630
372	1561	2624
373	1565	2619
374	1568	2614
375	1571	2608
376	1574	2602
377	1580	2600
378	1583	2595
379	1587	2589
380	1590	2584
381	1593	2578
382	1597	2573
383	1600	2568
384	1604	2562
385	1607	2557
386	1610	2551
387	1614	2545
388	1617	2540
389	1620	2534
390	1623	2529
391	1626	2523
392	1630	2517
393	1633	2512
394	1636	2506
395	1639	2501
396	1642	2495
397	1645	2489
398	1649	2484
399	1652	2478
400	1655	2472
401	1658	2467
402	1661	2461
403	1665	2456
404	1668	2451
405	1670	2444
406	1674	2439
407	1677	2433
408	1680	2428
409	1683	2422
410	1686	2416
411	1689	2411
412	1692	2405
413	1695	2400
414	1698	2394
415	1701	2388
416	1704	2383
417	1708	2378
418	1711	2372
419	1714	2367
420	1717	2362
421	1720	2357
422	1723	2351
423	1727	2346
424	1730	2341
425	1733	2336
426	1736	2330
427	1740	2325
428	1743	2320
429	1746	2315
430	1749	2309
431	1752	2303
432	1754	2298
433	1757	2292
434	1761	2287
435	1764	2282
436	1767	2276
437	1770	2271
438	1773	2266
439	1777	2261
440	1780	2256
441	1783	2251
442	1786	2246
443	1789	2240
444	1792	2235
445	1795	2230
446	1799	2225
447	1802	2220
448	1805	2215
449	1808	2210
450	1811	2205
451	1814	2200
452	1817	2194
453	1821	2190
454	1824	2185
455	1827	2180
456	1830	2175
457	1834	2170
458	1837	2165
459	1840	2160
460	1843	2155
461	1846	2150
462	1849	2145
463	1853	2140
464	1856	2135
465	1859	2130
466	1862	2125
467	1865	2120
468	1868	2115
469	1871	2110
470	1874	2105
471	1878	2100
472	1881	2096
473	1884	2091
474	1887	2085
475	1890	2080
476	1893	2076
477	1897	2071
478	1900	2067
479	1903	2062
480	1906	2057
481	1909	2052
482	1912	2047
483	1915	2042
484	1919	2037
485	1922	2033
486	1925	2028
487	1929	2023
488	1932	2019
489	1935	2014
490	1938	2009
491	1941	2004
492	1944	2000
493	1948	1995
494	1951	1990
495	1954	1985
496	1957	1981
497	1960	1976
498	1964	1971
499	1966	1966
500	1970	1962
501	1973	1957
502	1976	1953
503	1979	1948
504	1982	1943
505	1985	1938
506	1989	1934
507	1992	1929
508	1995	1925
509	1998	1920
510	2002	1916
511	2005	1911
512	2008	1906
513	2011	1901
514	2014	1897
515	2017	1892
516	2020	1887
517	2023	1882
518	2026	1878
519	2029	1873
520	2033	1869
521	2036	1864
522	2039	1859
523	2042	1855
524	2045	1850
525	2049	1846
526	2052	1842
527	2055	1837
528	2058	1832
529	2061	1828
530	2064	1823
531	2068	1819
532	2071	1814
533	2074	1810
534	2077	1805
535	2080	1801
536	2084	1796
537	2087	1792
538	2090	1787
539	2093	1782
540	2096	1778
541	2099	1774
542	2102	1769
543	2105	1765
544	2108	1760
545	2111	1755
546	2114	1751
547	2118	1747
548	2121	1742
549	2124	1737
550	2127	1733
551	2130	1729
552	2133	1724
553	2136	1720
554	2140	1715
555	2143	1711
556	2146	1707
557	2149	1702
558	2152	1698
559	2155	1693
560	2159	1689
561	2162	1685
562	2165	1680
563	2168	1676
564	2171	1671
565	2174	1667
566	2177	1663
567	2181	1658
568	2184	1654
569	2187	1650
570	2191	1646
571	2194	1641
572	2197	1637
573	2200	1632
574	2203	1628
575	2206	1624
576	2209	1620
577	2213	1615
578	2216	1611
579	2218	1606
580	2222	1602
581	2225	1598
582	2228	1594
583	2231	1589
584	2234	1585
585	2238	1581
586	2241	1576
587	2244	1572
588	2247	1568
589	2250	1564
590	2254	1559
591	2257	1555
592	2260	1551
593	2263	1547
594	2266	1542
595	2269	1538
596	2273	1534
597	2276	1530
598	2279	1525
599	2282	1521
600	2285	1517
601	2288	1512
602	2291	1508
603	2295	1504
604	2298	1500
605	2301	1496
606	2304	1491
607	2307	1487
608	2310	1483
609	2313	1478
610	2316	1474
611	2319	1470
612	2322	1466
613	2325	1462
614	2328	1457
615	2332	1453
616	2334	1449
617	2338	1445
618	2341	1441
619	2344	1437
620	2347	1432
621	2350	1428
622	2353	1424
623	2356	1419
624	2359	1415
625	2362	1411
626	2365	1407
627	2368	1403
628	2372	1399
629	2375	1394
630	2378	1390
631	2381	1386
632	2384	1382
633	2388	1378
634	2391	1374
635	2394	1370
636	2397	1366
637	2400	1361
638	2403	1357
639	2406	1353
640	2409	1349
641	2412	1345
642	2416	1341
643	2419	1337
644	2422	1333
645	2425	1329
646	2428	1325
647	2431	1320
648	2435	1316
649	2438	1312
650	2441	1308
651	2444	1304
652	2447	1300
653	2450	1296
654	2453	1292
655	2457	1288
656	2460	1284
657	2463	1280
658	2466	1276
659	2470	1272
660	2473	1268
661	2477	1264
662	2480	1260
663	2483	1256
664	2486	1252
665	2489	1248
666	2493	1244
667	2496	1240
668	2499	1236
669	2502	1232
670	2505	1228
671	2509	1224
